Lemma, Sentiment Level
-------------------------
advertise,2.4945054945054945
severely,2.493333333333333
politely,2.492424242424242
receipt,2.4923857868020303
policy,2.490842490842491
confirmation,2.490322580645161
yelling,2.4901408450704223
indifferent,2.4886363636363638
ing,2.4864864864864864
management,2.4849840255591054
teaspoon,2.4827586206896552
garbage,2.481818181818182
unsafe,2.480769230769231
nightmare,2.4774774774774775
wasting,2.477064220183486
plague,2.4761904761904763
fletcher,2.4761904761904763
gristle,2.4714285714285715
obese,2.4705882352941178
compensate,2.4698795180722892
urgency,2.4693877551020407
bleeding,2.46875
nope,2.4673469387755103
progressively,2.466666666666667
expiration,2.466666666666667
unevenly,2.466666666666667
reconsider,2.466666666666667
discrepancy,2.4642857142857144
sorely,2.462962962962963
elbowed,2.4615384615384617
profanity,2.4615384615384617
unsatisfied,2.46
payed,2.4565217391304346
soured,2.4545454545454546
stung,2.4545454545454546
argument,2.4526315789473685
unhappy,2.4483985765124556
arrogant,2.4453125
stupidity,2.4444444444444446
arriba,2.4444444444444446
behavior,2.4404145077720205
memo,2.44
mildew,2.44
slime,2.4375
disinfectant,2.4375
expiring,2.4375
unpleasant,2.436734693877551
curt,2.435483870967742
discretion,2.4347826086956523
harass,2.433333333333333
apathetic,2.4285714285714284
lawsuit,2.4285714285714284
grossness,2.4285714285714284
naive,2.4285714285714284
edible,2.4280078895463513
inform,2.4262295081967213
lumpy,2.425
invisible,2.4242424242424243
musty,2.4210526315789473
mediocre,2.4208266237251745
existent,2.420289855072464
gristly,2.4166666666666665
abrasive,2.4166666666666665
gasket,2.4166666666666665
omen,2.4166666666666665
acetone,2.4166666666666665
agony,2.4166666666666665
redeem,2.4140625
stolen,2.4121621621621623
unanswered,2.411764705882353
unimpressive,2.411111111111111
incorrectly,2.41025641025641
notification,2.409090909090909
rag,2.408450704225352
disaster,2.4074074074074074
dissatisfaction,2.40625
runaround,2.4
aggravating,2.4
leathery,2.4
unexciting,2.4
translucent,2.4
misunderstanding,2.4
viscous,2.4
unfairly,2.4
complacent,2.4
browning,2.4
robbery,2.4
protest,2.4
tch,2.4
unforgivable,2.4
fooling,2.4
wort,2.4
loudly,2.398843930635838
faulty,2.393939393939394
miserable,2.39247311827957
lint,2.388888888888889
